category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,topographic,0.5661,0.1474,2.9857,5.7457,8413
ai_faces_1k,topographic,0.577,0.0191,3.4367,6.2915,10649
ai_faces_1k,topographic,0.6058,0.0264,3.1862,5.7693,8042
ai_faces_1k,topographic,0.5048,0.3532,1.3993,4.7871,5783
ai_faces_1k,topographic,0.5627,0.1506,2.8943,5.5207,7948
ai_faces_1k,topographic,0.5954,0.053,3.3927,5.9777,9429
ai_faces_1k,topographic,0.5847,0.0233,3.3743,6.0528,8962
ai_faces_1k,topographic,0.5961,0.03,3.3763,5.9833,8592
ai_faces_1k,topographic,0.5927,0.0584,1.5289,5.5578,7328
ai_faces_1k,topographic,0.5779,0.0178,3.5309,6.1056,9035
ai_faces_1k,topographic,0.6127,0.037,3.1359,5.8582,8430
ai_faces_1k,topographic,0.5996,0.0001,3.3379,5.7953,7906
ai_faces_1k,topographic,0.5716,0.1258,3.3128,6.0627,9221
ai_faces_1k,topographic,0.6254,0.0319,1.5368,5.219,6959
ai_faces_1k,topographic,0.5657,0.0404,3.3433,6.036,9027
ai_faces_1k,topographic,0.5867,0.0205,3.3642,6.0814,9504
ai_faces_1k,topographic,0.5966,0.0163,3.4302,6.1044,9469
ai_faces_1k,topographic,0.5784,0.0052,3.4521,6.0085,8887
ai_faces_1k,topographic,0.5951,0.0052,3.4367,5.9029,7651
ai_faces_1k,topographic,0.5974,0.0754,3.2375,5.6362,7925
ai_faces_1k,topographic,0.6215,0.0105,3.3866,5.9634,8878
ai_faces_1k,topographic,0.5985,0.137,1.1149,5.243,7583
ai_faces_1k,topographic,0.6066,0.0465,2.4662,5.5317,6502
ai_faces_1k,topographic,0.5739,0.0317,3.4247,5.9216,8081
ai_faces_1k,topographic,0.565,0.0753,3.3895,6.0993,8561
ai_faces_1k,topographic,0.5937,0.0739,1.9072,5.7097,8153
ai_faces_1k,topographic,0.6185,0.156,1.0628,4.8889,7090
ai_faces_1k,topographic,0.5951,0.003,3.315,5.7232,8130
ai_faces_1k,topographic,0.6228,0.0282,3.1928,5.5595,7444
ai_faces_1k,topographic,0.5959,0.0548,2.8515,5.7584,8723
ai_faces_1k,topographic,0.5683,0.0071,3.3472,5.975,9219
ai_faces_1k,topographic,0.585,0.0535,3.5187,6.2007,10264
ai_faces_1k,topographic,0.6028,0.0793,3.2093,5.6127,7549
ai_faces_1k,topographic,0.5957,0.0394,3.3284,5.7271,8200
ai_faces_1k,topographic,0.6126,0.0176,3.2851,5.5008,6753
ai_faces_1k,topographic,0.5656,0.0808,3.1835,5.6723,8133
ai_faces_1k,topographic,0.5931,0.036,3.4339,5.9304,8285
ai_faces_1k,topographic,0.5709,0.1536,3.2269,5.7316,8192
ai_faces_1k,topographic,0.5987,0.06,3.0849,5.2585,7181
ai_faces_1k,topographic,0.5923,0.1519,1.1146,4.8928,5893
ai_faces_1k,topographic,0.6669,0.0134,2.3657,5.0457,6117
ai_faces_1k,topographic,0.5937,0.0162,3.3688,6.1329,8949
ai_faces_1k,topographic,0.5482,0.0904,3.2317,5.9015,8045
ai_faces_1k,topographic,0.5604,0.0109,3.2662,5.9216,8488
ai_faces_1k,topographic,0.5759,0.0258,3.4847,6.1454,9712
ai_faces_1k,topographic,0.5992,0.0062,1.8372,5.5891,7224
ai_faces_1k,topographic,0.5994,0.0506,3.2901,6.0155,9619
ai_faces_1k,topographic,0.6306,0.1273,1.2867,4.7045,6096
ai_faces_1k,topographic,0.6595,0.0661,1.605,4.9653,6932
ai_faces_1k,topographic,0.5726,0.0112,3.4805,6.0716,9446
ai_faces_1k,topographic,0.5745,0.0965,3.4222,5.8989,6835
ai_faces_1k,topographic,0.5813,0.0837,3.3897,6.0821,9208
ai_faces_1k,topographic,0.5641,0.1341,2.9759,5.4469,6718
ai_faces_1k,topographic,0.6064,0.1808,1.4619,4.8227,6002
ai_faces_1k,topographic,0.6018,0.0632,3.2298,5.9996,8796
ai_faces_1k,topographic,0.5897,0.0688,2.3567,5.7971,8517
ai_faces_1k,topographic,0.6108,0.0271,2.7731,5.5192,6939
ai_faces_1k,topographic,0.5922,0.0217,3.4667,6.007,8943
ai_faces_1k,topographic,0.5974,0.017,3.429,6.1718,10115
ai_faces_1k,topographic,0.5744,0.014,3.4011,5.9413,8817
ai_faces_1k,topographic,0.6763,0.1045,1.0322,4.5777,5915
ai_faces_1k,topographic,0.5876,0.0115,3.2968,5.7152,7168
ai_faces_1k,topographic,0.6125,0.0455,3.4275,5.9207,8134
ai_faces_1k,topographic,0.5931,0.05,3.3911,6.0193,9664
ai_faces_1k,topographic,0.5888,0.0372,2.4055,5.5615,7488
ai_faces_1k,topographic,0.583,0.0043,3.471,6.0977,9889
ai_faces_1k,topographic,0.5697,0.0147,3.4855,6.1475,9083
ai_faces_1k,topographic,0.5967,0.0077,3.3852,5.8967,8032
ai_faces_1k,topographic,0.6066,0.0138,3.2131,5.5845,8104
ai_faces_1k,topographic,0.5919,0.0041,3.4861,6.2461,10071
ai_faces_1k,topographic,0.6504,0.0143,2.7937,5.3909,7244
ai_faces_1k,topographic,0.5884,0.0505,3.2537,5.9907,8989
ai_faces_1k,topographic,0.5779,0.0259,3.43,6.1841,9041
ai_faces_1k,topographic,0.5993,0.0015,3.3578,5.9305,10186
ai_faces_1k,topographic,0.5914,0.0033,3.4213,6.1414,9414
ai_faces_1k,topographic,0.5757,0.0472,3.4653,5.9909,9348
ai_faces_1k,topographic,0.5763,0.0088,3.4519,5.7789,7761
ai_faces_1k,topographic,0.5929,0.0043,3.5034,6.2597,9439
ai_faces_1k,topographic,0.6069,0.0029,3.3365,5.7387,7947
ai_faces_1k,topographic,0.582,0.049,3.2822,5.9207,8555
ai_faces_1k,topographic,0.6225,0.2253,1.2547,4.3508,5456
ai_faces_1k,topographic,0.5907,0.0334,3.4862,6.19,9362
ai_faces_1k,topographic,0.6291,0.032,2.7024,5.0962,6906
ai_faces_1k,topographic,0.5552,0.0746,3.4683,6.1322,8982
ai_faces_1k,topographic,0.5703,0.0781,3.119,5.5199,7161
ai_faces_1k,topographic,0.5984,0.0185,3.3222,6.0578,9267
ai_faces_1k,topographic,0.5731,0.0078,3.5063,6.2036,10186
ai_faces_1k,topographic,0.6037,0.0423,2.9369,5.3859,7148
ai_faces_1k,topographic,0.6289,0.0463,1.791,5.4222,7028
ai_faces_1k,topographic,0.5863,0.095,2.891,5.6125,7669
ai_faces_1k,topographic,0.6783,0.0173,1.5199,4.9019,5526
ai_faces_1k,topographic,0.5666,0.0321,3.422,6.0309,8723
ai_faces_1k,topographic,0.5754,0.0737,3.366,6.0176,8305
ai_faces_1k,topographic,0.5836,0.0047,3.4878,6.1188,9463
ai_faces_1k,topographic,0.5766,0.1487,2.8397,5.5337,6815
ai_faces_1k,topographic,0.6073,0.0412,3.1047,5.8331,7955
ai_faces_1k,topographic,0.5661,0.0492,3.4351,6.1855,9651
ai_faces_1k,topographic,0.586,0.0495,3.2165,6.0725,9448
ai_faces_1k,topographic,0.6013,0.0127,3.4795,6.1331,9295
ai_faces_1k,topographic,0.7023,0.1109,1.1311,4.0066,4509
ai_faces_1k,topographic,0.586,0.0402,3.4767,6.3264,10340
ai_faces_1k,topographic,0.5862,0.0109,3.3387,5.3724,6886
ai_faces_1k,topographic,0.5766,0.0258,1.8751,5.8665,8438
ai_faces_1k,topographic,0.5719,0.1181,2.698,5.7189,7294
ai_faces_1k,topographic,0.5788,0.0165,3.3894,5.8812,8425
ai_faces_1k,topographic,0.5832,0.0,3.2722,5.9978,9093
ai_faces_1k,topographic,0.5881,0.0486,3.3459,5.9219,8023
ai_faces_1k,topographic,0.6197,0.1848,1.6676,4.4671,5577
ai_faces_1k,topographic,0.543,0.0155,3.3995,6.0304,8860
ai_faces_1k,topographic,0.6128,0.0445,3.2896,5.8415,7739
ai_faces_1k,topographic,0.6221,0.0748,1.479,5.3934,7832
ai_faces_1k,topographic,0.5608,0.111,2.9379,5.7998,7980
ai_faces_1k,topographic,0.5664,0.0206,3.4012,6.1308,9525
ai_faces_1k,topographic,0.5875,0.0194,3.3108,6.1041,9307
ai_faces_1k,topographic,0.5836,0.205,0.7083,4.8513,7185
ai_faces_1k,topographic,0.5804,0.0371,3.4366,6.157,8993
ai_faces_1k,topographic,0.587,0.0366,3.4835,6.0174,8523
ai_faces_1k,topographic,0.5658,0.0555,3.5278,6.0633,10160
ai_faces_1k,topographic,0.6073,0.095,2.4711,5.3378,6214
ai_faces_1k,topographic,0.5613,0.0589,3.0714,5.4377,6782
ai_faces_1k,topographic,0.5692,0.0338,3.4358,6.0048,8758
ai_faces_1k,topographic,0.576,0.2631,0.7984,4.7394,5866
ai_faces_1k,topographic,0.5868,0.0866,3.0493,5.5664,7622
ai_faces_1k,topographic,0.6075,0.1547,1.4333,5.0213,6403
ai_faces_1k,topographic,0.5667,0.0947,3.1613,5.696,7468
ai_faces_1k,topographic,0.5825,0.0666,3.2804,5.8641,7624
ai_faces_1k,topographic,0.567,0.0721,3.4139,6.321,11210
ai_faces_1k,topographic,0.6193,0.0647,1.3889,5.3233,6772
ai_faces_1k,topographic,0.5813,0.03,3.2936,6.0098,8672
ai_faces_1k,topographic,0.6019,0.0013,3.4201,6.0369,9871
ai_faces_1k,topographic,0.6877,0.0356,1.4096,4.5613,5085
ai_faces_1k,topographic,0.5531,0.1122,3.377,6.0327,9359
ai_faces_1k,topographic,0.5791,0.032,3.4025,5.9607,8332
ai_faces_1k,topographic,0.5929,0.081,2.7019,5.6195,7665
ai_faces_1k,topographic,0.5759,0.0503,3.0973,6.0585,9114
ai_faces_1k,topographic,0.5812,0.0284,3.3235,6.0832,9333
ai_faces_1k,topographic,0.5857,0.0422,3.3051,5.8675,8164
ai_faces_1k,topographic,0.5863,0.0195,3.2815,5.664,7657
ai_faces_1k,topographic,0.5947,0.0356,3.473,6.1469,9408
ai_faces_1k,topographic,0.6002,0.0682,3.3191,5.9231,8371
ai_faces_1k,topographic,0.6005,0.0797,0.5173,5.5578,7890
ai_faces_1k,topographic,0.5835,0.0336,3.5115,6.3502,9573
ai_faces_1k,topographic,0.6479,0.022,1.4391,5.4721,7528
