category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,raw,0.8013,0.1417,0.2819,7.701,1215
ai_faces_1k,raw,0.8127,0.1328,0.3322,7.509,1497
ai_faces_1k,raw,0.8141,0.0717,1.2603,7.5281,1526
ai_faces_1k,raw,0.7283,0.2659,0.3086,6.5612,1164
ai_faces_1k,raw,0.8043,0.059,0.2598,7.0739,798
ai_faces_1k,raw,0.8516,0.1073,0.3562,7.6008,702
ai_faces_1k,raw,0.8189,0.0632,0.3033,7.5296,1255
ai_faces_1k,raw,0.7487,0.0667,0.2483,7.6486,1231
ai_faces_1k,raw,0.8464,0.0725,0.2758,7.2978,1476
ai_faces_1k,raw,0.8643,0.039,0.1115,7.3189,1114
ai_faces_1k,raw,0.7078,0.1771,0.3211,7.7539,1126
ai_faces_1k,raw,0.8498,0.1144,0.5242,7.1841,764
ai_faces_1k,raw,0.5578,0.376,0.1148,7.7119,763
ai_faces_1k,raw,0.8815,0.0071,0.4861,7.5141,1279
ai_faces_1k,raw,0.7617,0.2054,0.2869,7.4372,2254
ai_faces_1k,raw,0.8833,0.0441,0.5797,6.7687,1120
ai_faces_1k,raw,0.7592,0.1225,0.7094,7.3941,631
ai_faces_1k,raw,0.9011,0.043,0.9012,6.6352,793
ai_faces_1k,raw,0.8976,0.0513,0.226,7.1753,1657
ai_faces_1k,raw,0.7578,0.0858,0.4999,7.543,2384
ai_faces_1k,raw,0.6587,0.2388,0.6266,7.8563,2590
ai_faces_1k,raw,0.7716,0.0633,2.3194,7.7934,1406
ai_faces_1k,raw,0.8876,0.0139,0.3141,7.6483,1276
ai_faces_1k,raw,0.895,0.0804,0.2733,7.0702,1014
ai_faces_1k,raw,0.7562,0.053,0.3343,7.03,792
ai_faces_1k,raw,0.8101,0.1616,0.2949,6.7105,1183
ai_faces_1k,raw,0.8125,0.0992,0.2872,7.4362,995
ai_faces_1k,raw,0.8204,0.1351,0.3606,7.4964,936
ai_faces_1k,raw,0.8168,0.1653,1.7547,7.3049,1747
ai_faces_1k,raw,0.8344,0.0973,0.2492,7.2688,1254
ai_faces_1k,raw,0.6124,0.3439,0.228,6.9898,863
ai_faces_1k,raw,0.9123,0.0418,0.3568,6.8669,1185
